구분,질문,답변
전세,부동산전세사기를 당할 줄은 꿈에도 몰랐는데 제가 당했네요.전세계약이 끝나기 6개월전부터 계약연장을 안한다고 의사를 밝혔는데 집주인이 전세금을 돌려주지를 않고 있어요.사업이 망해서 지금 돌려줄 수 있는 전세자금이 없다고 합니다.그래서 부동산전세사기소송하고 싶은데 오래걸릴까요?,전세계약은집주인이직접올리거나부동산이맡아서올릴수있습니다따라서다른집들이올라오는것과는상관없이전세계약이올라오지않은이유는부동산이아직올리지않았을가능성이있습니다전세사기에대한우려를가지셨다면부동산과상담해보시는것이좋습니다행복하고건강한하루보내셔용
전세,최근에 9월 중순쯤 전세계약을 했는데 저희보다 늦게 계약한 집들도 다 호갱노노에 올라오는데 왜 저희집 계약건은 안올라올까요? 심지어 한 부동산(계약한부동산 아님)은 제가 계약한 집을 아직 올려놓고있습니다.요즘 전세사기다뭐다 말이 많아서 혹시나 하는 마음에 문의드립니다.,혹시이와같은상황에서부동산계약을직거래로하는거에대해서어떻게생각하시는지요계약당사자간협의에따라결정되는사항입니다우선적으로가장중요한것은등기사항전부증명서를열람한후이상이없다면기존계약서여백을활용하여변경된내용을작성하여도충분합니다또한직거래를한다면어떻게해야하는지자세히좀알려주세요첫번째등기사항전부증명서를열람하여이상이없는경우진행하시기바랍니다
전세,"안녕하세요, 현재 해당 집에 2년 계약 및 2년 갱신하여 4년째 살고 있는 세입자 입니다.집주인과의 협의로 향후 전세를 계속 이어서 계약 하려고 하는데요.계약금을 제외하고 기존계약도 그대로고, 매물도, 계약당사자도 똑같은 상황이라,부동산 중개인 통해서 계약려고 하니 수수료가 너무 아깝다는 생각이 듭니다.1) 혹시 이와 같은 상황에서 부동산 계약을 직거래로 하는거에 대해서 어떻게 생각하시는지요?2) 또한, 직거래를 한다면 어떻게 해야 하는지 자세히 좀 알려주세요",혹시이와같은상황에서부동산계약을직거래로하는거에대해서어떻게생각하시는지요계약당사자간협의에따라결정되는사항입니다우선적으로가장중요한것은등기사항전부증명서를열람한후이상이없다면기존계약서여백을활용하여변경된내용을작성하여도충분합니다또한직거래를한다면어떻게해야하는지자세히좀알려주세요첫번째등기사항전부증명서를열람하여이상이없는경우진행하시기바랍니다
전세,"현재 전세로 살고 있는 집을 사정이 생겨 계약기간 보다 일찍 방을 빼게 되었습니다빨리 빠져야 보증금을 받을 수 있어서 당근에 올리려고 합니다근데 집주인은 꼭 부동산을 끼고 해야한다고 하는데 이 부분을 기재하고 당근에 올려도 될까요…,?(당근은 직거래로 알고 있어서요ㅠㅠ)",부동산전세사기로고소를하고싶고해당전세금을돌려받고싶으신것으로보입니다사기죄는사기죄에해당하는행위에대한고의와불법영득의사를가진기망행위자가피기망자를기망하고이러한기망행위에착오한피기망자가이러한착오로인한처분행위를하여기망행위자또는제자가재물을수령하거나재산상이익을취득한경우에성립될수있습니다해당사안의구체적인사실관계와관련사항등을바탕으로구체적인법적검토를통해서해당사안으로부동산전세사기고소로인한형사절차진행의가능성해당사안으로사기죄등의성립가능성등을파악할필요가있습니다사기죄고소를진행하려고하신다면진실된사실관계를바탕으로사기죄의성립요건과증거등을고려하여적절히완성한고소장을관할수사기관에제출하시는것이고소접수와형사절차진행의원활에효과적일가능성이높습니다사기죄의형사사건의피고소인또는피의자나피고인으로서는개별적인사안과상황등에따라서형사처분또는형사처벌을약화시킬가능성을높이기위하여고소인또는피해자와합의를하려고하거나고소인또는피해자에게피해변제를하려고할가능성이상당히있습니다그런데상대방에따라서는사기죄피해자또는고소인과합의를진행하려고하지않을수도있다는것을고려하실필요가있습니다사기죄고소를진행하고나서의형사절차진행과정에서고소인또는피해자로서상대방이어떻게진행하고대응등을하는지에관한사항등을고려하면서개별적인사안이나상황등에따라서사실관계적인부분법리적인부분증거와증거법칙적인부분형사절차와실무적인부분양형요소와정상관계적인부분등을고려하여적절한진행및대응등이필요할수있습니다개별적인사안이나상황등에따라서는전세금반환청구소송손해배상청구소송등의민사소송이필요할수있습니다
전세,부동산전세사기로 고소를 하고 싶습니다. 전세 계약이 끝나서 집을 나가야 하는데 상대방이 전세금을 돌려주지 않습니다. 연락도 안되고 돈이 없다고 합니다. 이런 경우에는 어떻게 해야하나요? 부동산전세사기로 고소 가능한가요? 그리고 처벌은 어떻게 되나요? 전세금은 돌려받을 수 있나요?,직거래가능합니다계약체결후집주인은세입자와전세계약을한내용들을시나구청아님주민센터에신고를해야하나요일이내에주소지의주민센터에신고해야합니다전세계약자만신고하나요한다면어디에신고해야하나요신고의무는모두에게있으나한사람이계약서를지참해서신고하면공동신고로간주됩니다
전세,제가 자가가 있습니다 방이4 개인데 2개를전세를 놓으려 합니다 전세가는 8천정도 그럴경우부동산 거래 말고 세입자와 집주인이 만나서 직접거래 가능할까요?계약 체결후 집 주인은 세입자와전세계약을 한 내용들을 시나 구청 아님주민센터에 신고를 해야 하나요?전세 계약자만 신고 하나요? 한다면어디에 신고 해야 하나요?,당사자끼리계약서를써도되고중개업소에서대필료만원정도주면서써도되겠지요다른글을찾아보니굳이명의이전안해도상속인이받아가는걸로된다던데꼭명의이전안해도되나요그러지요상속이되면이전등기없이도물권변동소유권이일어나는것이지만일반인들은잘모르기때문에이전등기후에하자고할수도있겟지요집주인과계약을다시해야한다면어디서어떻게진행을해야할까요그집을계속이용하려면계약서를써야할것이고보증금을반환받으려면계약서를쓸것이아니라새임차인을구해서거기서나오는보증금을받아서나눠야겟지요
전세,아버지가 돌아가시면서 아버지께서 살고 계시던 집 전세계약금을 형제 둘이서 공동명의로 나누는걸로 합의가 되었습니다 법적으로 공증사무소 가서 공증도 다 썼습니다1. 집 전세 계약서를 집주인과 써야하나요? 부동산가서 같이 쓰는건가요?2. 다른 글을 찾아보니 굳이 명의이전 안해도 상속인이 받아가는걸로 된다던데 꼭 명의 이전 안해도 되나요?3. 집주인과 계약을 다시 해야한다면 어디서 어떻게 진행을 해야할까요..,순위아닌이상전세금전액을회수하는것은어려워보입니다이를예방하기위하여전세계약시부동산등기부등본을꼼꼼히살펴보아야하며그러하지못하여순위를확보하지못하고전세계약을체결한경우그위험은오롯이세입자가부담하게됩니다전세금을전부돌려받을경우추가적인소송은할것이없습니다구체적인사건내용을알수없으므로위답변은참고용으로만활용하시기바랍니다
전세,"전세 2년 계약으로 6000만원을 낸 상황입니다. 1월부터 집주인이 연락을 피하고 있어 설마했는데오늘 부동산임의(강제)경매 안내문이 날아았습니다.전입신고와 계약서, 확정일자는 가지고 있어 제출 할 예정이고정확히 1년 지난 계약이기에 순위는 어떻게 될 지 모르겠습니다.카카오뱅크 5400만원 대출중이며 현재 계약은 1년 남았습니다.법원에 서류 제출하라는거 제출 하고 기다려야 하는데..1. 만약 전세금을 전부 못받게 된다면 집주인을 상대로 소송이 가능한가요?소송해서 받을 수 있는 금액이 있나요?2. 전세금을 전부 돌려받는다고 해도 또 다른 소송이 가능한가요? 추가적인 금액을 받는 방법이 있을까요현재 제가 할 수 있는건 권리신고 및 배당요구 신청서 제출 뿐입니다..매매가가 1억인데 전세가 6000이면1순위 아닌이상 기대도 못하겠죠?",네임대인에게이야기하고소유자정보와함께부동산에제공해서매물의뢰하시면됩니다임대인몫의중개보수만내시면됩니다새로운임차인이들어오면임대인과임대차계약을체결하고잔금일에맞추어서질문자님은이사를나가시면됩니다
전세,"안녕하세요 저는 현재 오피스텔에 전세로 살고있는 세입자(임차인)입니다. 제가 계약기간 만료 전에 사정이 생겨 중간에 방을 빼야하는 상황이라, 집주인(임대인)과는 연락하여 부동산에 매물을 내놓기로 얘기를 하였습니다.이후 제가 어떻게 진행을해야하는지 몰라 질문드립니다.1. 부동산에 매물을 내놓으려면 어떻게 해야하나요? 전화를 한다던지, 방문을 한다던지, 그리고 제가 계약했던 동일한 조건(전세 1억5천)과 동 호수 를 얘기하면 되는건지 등등2. 복비의 경우 얼마를 언제 부동산에 얘기해야하는지도 궁금합니다. 그리고 복비는 제가 부담하겠다고 했는데 이럴 경우 임대인의 복비만 제가 부담하는것이지요? 새롭게 입주할 세입자의 복비는 제가 부담하는게 아닌게 맞는건가요?3. 새로운 세입자를 찾게되면 그 이후 계약이나 이런 절차는 제가 관여하는게 아닌가요? 부동산에 매물 등록후 임차인인 제가 해야할 일이 있는지 궁금합니다. 매물 등록 이후 전반적인 절차에 대해서 알려주시면 감사하겠습니다(중간에 전세를 빼는 임차인인 제 기준)부동산 거래가 처음이라 모르는게 많아 도움 부탁드립니다... ㅜㅠ",은행대출갱신시갱신계약서가필요한지확인하시기바랍니다님은묵시적갱신을이유로갱신계약서작성을거절할수있습니다임대인은갱신계약서작성을위해임차인이부담해야할부동산비용을자신이부담할수있습니다부동산비용은협의사항이라는의미입니다이상은개인적인의견이오니참조만하시기바랍니다
전세,"전세 갱신날짜가 1달조금넘게 남았는데 집주인이 아무연락이없었고, 은행에서 대출 갱신 문자가와서 부동산에 전화해서 갱신계약서 제가 쓰자고 했는데다시생각해보니 묵시갱신이면 계약서를 제가 쓸 이유가 없는거 같기도해서요부동산에 계약서를 꼭써야하나 물으니 집주인이 임대사업자여서 구청에 신고도 해야해 계약서는 무조건 써야한다는데 제 필요에 의해 쓰는게 아니면 계약서 수수료는 집주인이 부담하는게 맞지않나 싶은데 뭐가 맞나요?1.계약서 써야하는 필요성 여부2.계약서작성 부동산 비용 부담관련3.혹시 집주인이 5%올리고자할경우 거절하고 재계약할수있는지",전세로살고계신분께서는부동산을증여받을것이라는사실을알려드리는것이좋습니다또한부동산증여와관련하여법적절차나세금등에대한문제도함께협의해보시는것이좋습니다받으신전세금은부동산증여와별개의문제이므로아버님이직접처리하시는것이일반적입니다전세금반환은전세계약서에명시된조건에따라결정되므로계약서를확인하시면됩니다일반적으로전세금반환은세입자가수행하는것이나전세계약서에명시된조건에따라달라질수있으므로계약서를확인하시는것이좋습니다
전세,부동산을 아버님께 하나 증여 받을 예정입니다. 현재 저는 무주택 세대주이고 ( 원룸 거주 중 )증여 받을 부동산은 전세로 살고 계신 분이 계십니다.전세 보증금을 제외하고 증여를 받는 부담부 증여가 아닌아파트 시가 인정액 전액을 증여 받을 생각인데 이 경우 Q1 . 전세로 살고 계신 분에게 알려드릴 사항이 있나요?Q2 . 아버님이 받으신 전세금은 어떤 식으로 처리되는지 궁금합니다!Q3 . 전세금 반환을 제가 해야하는지 아버님이 해야하는지요??,공인중개사가누구인지여부만가지고사기라고판단하기어려우며전세계약시공시되지않는선순위임대차보증금이얼마인지잘확인하시고계약을진행하시길권해드립니다
전세,사용승인일 2012년오피스텔에 중기청100 대출로 전세알아보고있는데해당오피스텔 건물에잇는 건물이름딴 공인중개사사무소(예를들어 오피스텔건물이름->홍길동 홍길동 건물1층에 있는 홍길동공인중개사사무소)에서 알아보면 전세사기일 확률이 낮을수도 있을까요?아니면 공인중개사랑 집주인은 다른얘기라 상관없으려나요..,계약서에도장찍기전에미리관련자료들을모두지참하고변호사상담을받아전세사기의심의여지가있는포인트들을체크하고또체크하는게그나마전세사기를당하지않는방법입니다스스로미리조심하고체크하는것이외에사기를당하지않는사실상다른방법은없습니다
전세,전세 사기 안당하려면 어떻게 해야하나요 전세 알아보는 중인데 사기 당할 까봐요,요즘은웬만하면임대인들도알아서국세지방세체납증명서를갖고옵니다특약에넣지않으려고하니더이상하네요이런경우임차인은계약해지를요구하고가계약금을돌려받을수있는데요법조항은아래와같습니다전세계약은민법제조에따라임대인이임차인에게임대물을사용수익하게할것을약정하고임차인은임대인에게차임보증금을지급할것을약정하는계약입니다따라서임대인은임차인에게임대물을제공할의무가있고임차인은임대인에게차임을지급할의무가있습니다임대인은임대물을제공할의무를다하기위해임대물에대한적절한권리를가지고있어야합니다따라서임대인의국세지방세납입증명서를제출하도록요구하는것은임대인의적절한권리를확보하기위한합리적인요구입니다
전세,"전세계약을 위해 가계약금을 입금했고, 조만간 전세계약서를 써야해서 부동산에 임대인의 국세 지방세 납입증명서 제출을 특약에 넣으려고 하는데 부동산에서 특약으로 넣지 않으려고 하네요.이럴 경우 계약해지하고 가계약금을 돌려 받을 수 있는지 또한 만약 임대인이 거절하면 가계약금을 돌려 받을 수 있는지 궁금합니다. 가계약금 입금시에는 납입증명서 관련해서는 상호 언급이 없었습니다.",선임비용은보증금액에따라만원될수있습니다임대인과부동산중개인에대하여계약서외당시상황속을수밖에없었던부분증명할수있는자료를정리해주시면좋습니다쉽지않아보이는것은해당부동산이이미경매개시결정으로절차진행중이고임대인으로경제적으로자력으로변제할수있는상황으로보이지않으므로당장의금전회수는어렵더라도이후추심을할수있는판결문집행권원확보에의미를우선은두셔야할것으로보입니다
전세,"부동산 전세 사기를 당했습니다.  집주인과 부동산 중개업자가 고의적으로 선순위 보증금을 속였고, 계약서에 명시되어 있습니다. 결국 경매 진행 중인 사건으로 경매낙찰시 순위가 밀려 보증금 반환이 힘든상황입니다. 집주인과 부동산을 상대로 손해배상청구와 보증금 반환소송을 진행할 계획인데 대략적인 금액이 얼마들지, 전문변호사 분들이 계신지 문의합니다.",전세보증금은임대인의결정사항입니다집주인전담부동산이아닌제가알아봐서여러부동산에내놓으면안되나요집주인이이야기하는조건으로내놓으셔셔빨리계약이되도록하셔야비용을최소화할수있습니다집주인이올린젠세금으로집이나갔을경우에도제가부동산수수료를내야하는건가요수수료는기존보증금기준으로계산하시고차액은임대인이내셔야합니다참고하시기바랍니다
전세,"[부동산 전세 문의]계약 만료전 이사 안녕하세요. 계약 만료전 이사 관련해서 문의 드립니다.제가 계약 기간이 6개월 남아있는 상황에서 부득히 하게 이사를 가게 되었는데요,원래 계약했던 부동산에만 말을 했고, 해당 부동산에서 집주인에게 말을 했다고 해서 기다리는 중인데,집이 안나가서 얼마전에 다시 물어본 결과 전세금을 3천만원이나 올려서 내놓은 것을 알게 되었습니다.1. 제가 부동산 수수료를 내는 상황에서 원래 계약했던 전세금으로는 내놓으면 안되는 상황인가요?2. 집주인 전담 부동산이 아닌 제가 알아봐서 여러 부동산에 내놓으면 안되나요?3. 집주인이 올린 젠세금으로 집이 나갔을 경우에도 제가 부동산 수수료를 내야하는건가요?이자율 때문에 전세가 가뜩이나 안나가서 불안하네요..ㅠㅠ답변 부탁 드리겠습니다.",갱신후계약해지의사표시한이후개월이지나면그효력이발생하므로그때퇴거를할때에는임차인을새로구하거나부동산수수료를물의무가없어보입니다임대인이새로운임차인을구하지못해임차보증금반환를못하겠다고하면계약해지효력일이후임차권등기명령및민사소송진행이가능합니다또한그전에내용증명등의방법으로발생할구체적인손해에관하여언급할필요도있습니다
전세,안녕하세요전세계약 기간 내의 전세금 반환 요청 건에 대한 법리적 조언을 구합니다전세계약 거주중이며 전세계약 갱신 청구권 사용한 연장 상태2023.02.06 집주인에게계약 종료 희망 요청 퇴거 요청 시점 5월 까지 기한이며 이전에 가능질문사항 1.전세갱신청구권 사용 시 계약 기간 내 퇴거 시 다른 임차인은 제가 구해야 하는지 2.다른 임차인과 인대인의 계약 시 부동산 수수료 지불의무 주체3. 임대인의 거부 의사 시 계약 종료 방법 및 예상 기간미리 답변 감사드립니다관련태그: 임대차,부동산전세계약만료시에는일반적으로전세금을전액돌려받는것이관례입니다전세금이큰액수일경우에도동일한절차가적용됩니다일부계약금을받고마지막날에잔금을돌려받는경우는예외적인상황일수있습니다항상행복하고긍정적인날만되시길바래요
전세,부동산 전세계약 만료로 전세금 돌려받을때집주인한테 미리 일부 계약금을 받고 마지막날에 잔금을 다 돌려받는게 맞나요?아님 전세금 전액을 다 계약 마지막날에 돌려받는게 관례인다요?전세금이 2억이 넘어가는 큰 액수라 다른집 이사갈때 전세금 돌려받는 절차가 보통 어떤지 궁금합니다.,이경우집주인이새로바뀐뒤계약을갱신한다할지라도보증금이동일하면계약서를쓸필요가없습니다새로운계약서쓰면확정일자소멸하므로후순위자가됩니다계약서는보증금증액때변경계약서아니면안쓰는게좋습니다
전세,제가 2022년 1월 전세 계약을 했습니다 22년 8월에 집주인이 바뀐걸 모르다가 23년 3월 보일러 고장으로 계약했던 집주인에게 전화하니 집주인이 변경되었다는걸 알았습니다.8월에 변경된 집주인은 전세 계약 승계를 동의 했고 저한테 아무도 연락을 안했던 겁니다그래서 23년 3월쯤에 이 사실을 알고 계약서는 새로 작성 안하고 보증보험만 변경 한 상태입니다.질문1.  전세 종료가 24년 1월이라 집주인이 증액 없이 연장하자고 하는데 이때 계약서를 어떻게 작성해야 할지 궁금합니다.질문2. 재계약시 특약사항에 무엇을 넣으면 좋을지 알려주세요,억전부보증보험가입가능합니다
전세,[],억전부보증보험가입가능합니다
